"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2004-09-16";NA;NA;NA;NA;NA;NA;NA;NA;17850;NA;NA;NA;16800;NA;NA;NA;NA;1050;27300;3150;NA;1050;NA;106000;4200;NA;NA;NA;NA;NA;NA;4200;NA;NA;NA;NA;1050;2100;100;4200;NA;44100;NA;NA;NA;100;NA;NA;1050;38850;NA;NA;3150;NA;NA;NA;NA;9450
"2004-10-18";NA;NA;NA;NA;NA;NA;NA;NA;110250;NA;NA;NA;NA;NA;NA;NA;NA;NA;10500;NA;NA;NA;NA;7350;NA;NA;NA;NA;NA;NA;NA;17850;NA;NA;NA;NA;NA;1050;NA;1050;NA;64050;15750;NA;NA;NA;NA;NA;NA;31500;NA;NA;NA;NA;NA;57750;NA;8400
"2004-11-15";NA;NA;NA;NA;NA;NA;NA;NA;23100;NA;NA;NA;37800;NA;1050;NA;NA;2100;NA;NA;NA;NA;NA;3150;12800;NA;NA;NA;NA;NA;NA;4200;NA;NA;NA;1000;500;1050;NA;300;NA;30450;7350;NA;NA;5250;NA;NA;2100;800;200;NA;6300;NA;1100;200;NA;23100
"2004-12-13";NA;NA;NA;NA;NA;NA;NA;NA;286650;NA;NA;NA;NA;NA;NA;NA;NA;NA;17850;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2100;NA;48300;3150;NA;NA;NA;NA;NA;1050;1050;NA;NA;NA;NA;4200;NA;NA;79400
"2005-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;1100;NA;NA;NA;1000;200;NA;NA;NA;NA;100;100;NA;NA;NA;900;NA;NA;100;NA;1100
"2005-02-16";NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;200;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;2400;NA;NA;NA;2600;1900;NA;NA;NA;NA;NA;NA;100;NA;NA;10500;NA;300;300;NA;2200
"2005-03-08";NA;NA;NA;NA;NA;NA;NA;NA;23470;NA;NA;NA;13870;NA;1067;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1167;21340;NA;NA;NA;27740;56548;NA;1067;1067;NA;NA;3201;1000;100;NA;88560;NA;500;18139;NA;17038
"2005-03-23";NA;NA;NA;NA;NA;NA;NA;NA;19294;NA;NA;NA;7893;877;NA;NA;NA;NA;NA;877;NA;NA;NA;877;877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;877;54374;1754;NA;NA;NA;NA;NA;NA;1754
"2005-04-11";NA;NA;NA;NA;NA;NA;NA;NA;7016;NA;NA;NA;10524;NA;NA;NA;100;NA;NA;1754;NA;NA;NA;4385;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;877;1754;NA;NA;NA;8770;NA;NA;100;NA;NA;NA;100;1954;49989;100;NA;NA;NA;1754;NA;3508
"2005-04-26";NA;877;NA;NA;NA;NA;NA;NA;55251;NA;NA;NA;7016;NA;NA;NA;877;NA;NA;NA;NA;NA;NA;14032;8770;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16663;NA;NA;NA;NA;NA;2631;10524;8770;156983;NA;NA;NA;NA;877;NA;50932
