"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1990-04-05";"51400";NA;NA;NA;"1400";NA;NA;NA;NA;NA;NA;NA
"1990-04-19";"25500";NA;NA;NA;"5100";NA;NA;NA;NA;NA;NA;NA
"1990-05-03";"18400";NA;NA;NA;"7800";NA;NA;NA;NA;NA;NA;NA
"1990-05-17";"15100";NA;NA;NA;"11600";NA;NA;NA;NA;NA;NA;NA
"1990-05-31";"44";NA;NA;NA;"13";NA;NA;NA;"4";NA;NA;NA
"1990-06-14";"57600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-06-28";"5800";NA;NA;NA;"500";NA;NA;NA;NA;NA;NA;NA
"1990-07-12";"2500";NA;NA;NA;"12500";NA;NA;NA;"600";NA;NA;NA
"1990-07-26";"1700";NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA
"1990-08-09";"2300";NA;NA;NA;"200";NA;NA;NA;"1400";NA;NA;NA
"1990-08-23";"8200";NA;NA;NA;"7100";NA;NA;NA;NA;NA;NA;NA
"1990-09-05";"16700";NA;NA;NA;"900";NA;NA;NA;NA;NA;NA;NA
"1990-09-27";"13500";NA;NA;NA;"1900";NA;NA;NA;NA;NA;NA;NA
"1990-10-11";"1900";NA;NA;NA;"2200";NA;NA;NA;NA;NA;NA;NA
"1990-10-25";"4900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-11-08";"7500";NA;NA;NA;"1000";NA;NA;NA;NA;NA;NA;NA
"1990-11-23";"4300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-12-06";"5900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-12-13";"6400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1991-01-25";"4800";NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;NA
"1991-02-21";"5000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1991-03-07";"14800";NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA
"1991-03-21";"34200";NA;NA;NA;"4300";NA;NA;NA;NA;NA;NA;NA
"1991-04-11";"13400";NA;NA;NA;"1400";NA;NA;NA;NA;NA;NA;NA
"1991-04-25";"14400";NA;NA;NA;"1000";NA;NA;NA;NA;NA;NA;NA
