"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1991-03-04";NA;"7200";NA;"9400";NA;NA;NA;"11600";NA;NA;"1800";"17600";"44200"
"1991-04-02";NA;"400";NA;NA;NA;NA;NA;"2600";NA;NA;NA;"800";"23900"
"1991-05-03";NA;NA;NA;"15600";NA;NA;NA;"18600";NA;NA;"4200";"1000";"122200"
"1991-05-24";NA;"14400";NA;NA;NA;"1200";NA;"480000";"3800";NA;"4200";"6000";"77200"
"1991-06-07";NA;"1600";NA;"1600";NA;NA;NA;"11200";"2400";NA;"800";NA;"35200"
"1991-06-17";"600";"1600";NA;"2600";NA;"2600";NA;"76800";"1400";NA;"10600";NA;"18900"
"1991-07-05";NA;"35800";NA;NA;NA;NA;NA;"158400";"1000";NA;"115000";"116800";"54400"
"1991-07-19";NA;"2400";NA;"2600";NA;"1600";NA;NA;"14200";NA;"47400";NA;"132200"
"1991-08-02";NA;"20800";NA;NA;NA;NA;NA;"8200";"3800";NA;"1600";NA;"39400"
"1991-09-05";NA;"1200";NA;"400";NA;"1200";NA;"8400";"2200";NA;"2400";"43200";"44200"
"1991-09-23";NA;"3600";NA;"1200";NA;"400";NA;"19200";"1800";NA;"2200";NA;"153500"
"1991-10-01";NA;NA;NA;NA;NA;NA;NA;"28400";"2600";NA;"2400";"600";"48200"
"1991-10-15";NA;"400";NA;"1600";NA;NA;NA;"6200";"1600";NA;NA;"4400";"21400"
"1991-11-04";NA;"400";NA;"600";NA;NA;NA;"600";"400";NA;"400";"200";"18600"
"1991-11-18";NA;"1800";NA;"3400";NA;NA;NA;"3800";"1000";NA;"1200";NA;"13800"
"1991-12-02";NA;NA;NA;NA;NA;NA;NA;"1400";NA;NA;"1800";NA;"21200"
"1992-01-03";NA;NA;NA;"400";NA;NA;NA;NA;"400";NA;"1200";"1400";"21400"
"1992-01-17";NA;"800";NA;"7200";NA;"100";NA;"1000";"400";NA;"400";"800";"13700"
"1992-02-06";NA;"1600";NA;"195800";NA;"100";NA;"400";"200";NA;NA;"1200";"14100"
"1992-02-18";NA;"4200";NA;NA;"2800";NA;NA;"1400";"400";NA;NA;NA;"20000"
"1992-03-02";NA;"313800";NA;"1000";NA;NA;NA;"3600";"14300";"1200";"800";"12000";"46600"
"1992-03-20";NA;"299000";NA;"32600";NA;NA;NA;"66800";NA;NA;"2200";NA;"107000"
"1992-04-01";NA;"66200";NA;NA;NA;NA;"2400";"11600";NA;NA;"2200";NA;"43800"
"1992-04-22";NA;"58700";NA;NA;"900";NA;"5300";"1600";"100";"30900";"500";NA;"11600"
"1992-05-04";NA;"8600";NA;NA;"400";NA;"800";"1500";NA;"1300";NA;NA;"7800"
"1992-05-19";NA;"80400";NA;NA;NA;"300";NA;"900";"3100";"3600";NA;NA;"16100"
"1992-06-01";NA;"1588000";NA;"3200";NA;NA;NA;"141400";"2600";NA;NA;"9600";"7300"
"1992-06-15";NA;"82800";NA;NA;NA;NA;"882600";"3800";NA;NA;NA;"112800";"4400"
"1992-06-29";NA;NA;NA;"21200";NA;"400";NA;"4200";"2400";NA;NA;NA;"34200"
"1992-07-15";NA;"3400";NA;"3600";NA;NA;NA;"22600";"400";NA;NA;NA;"40600"
"1992-07-27";NA;NA;NA;NA;NA;NA;"400";"2000";"1600";NA;NA;NA;"30600"
