"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1994-07-25";"10000";"4800";"3400";"8800";"5000";"14000";NA;NA;"11400";"400";NA;"195400"
"1994-08-08";"50600";"268800";"1800";"312000";"12000";"14400";NA;"3600";"2700";"5000";"1800";"262600"
"1994-08-22";NA;"3600";NA;NA;"4200";"7800";NA;NA;"400";"3200";NA;"22200"
"1994-09-05";"24000";"670400";"400";"4200";"5700";"5400";NA;NA;"14400";"200";"800";"68200"
"1994-09-19";"600";NA;NA;"600";"18400";NA;NA;NA;"400";"200";NA;"168400"
"1994-10-03";"2200";"9200";NA;"8000";"4400";"9200";NA;"3600";"4400";"400";NA;"79400"
"1994-10-18";"1016000";"197000";"3800";"363200";"55800";"2600";NA;"8200";"600";NA;"1000";"213800"
"1994-11-02";"129800";"540800";"800";"40800";"23600";"1600";NA;"118400";"300200";"1800";NA;"67400"
"1994-11-14";"21400";"12800";"8700";"7200";"9400";"4200";NA;"1000";"8200";"400";"100";"31700"
"1994-11-29";"5200";"27400";NA;"9600";"9800";"400";NA;"25000";"52000";"200";"400";"50600"
"1994-12-12";"4000";"80800";"200";"5400";"4000";NA;NA;"15000";"125200";"600";NA;"252600"
"1995-01-02";"400";NA;"600";NA;"6500";"300";NA;NA;"14500";NA;"100";"94100"
"1995-01-16";"3800";NA;"200";NA;"6400";NA;NA;"400";"2800";"1400";"200";"121200"
"1995-01-30";"2000";NA;NA;NA;"3400";NA;"800";"400";"35500";"1000";NA;"124800"
"1995-02-13";"4600";NA;NA;NA;"2800";NA;"400";"1600";"700";"800";NA;"360000"
"1995-02-27";"100400";"3200";"400";"2400";"13600";"600";"67400";"12600";"133600";"3600";NA;"354600"
"1995-03-13";NA;NA;"1400";NA;"9000";"200";NA;"400";"5700";NA;"400";"81200"
"1995-03-27";"8400";NA;NA;"1800";"7200";NA;"1200";"1400";"600";NA;NA;"87900"
"1995-04-10";"7200";"800";"2000";"1800";"49200";NA;"1600";"15000";"67800";"400";"400";"888900"
"1995-04-24";"122400";NA;"200";"10800";"25800";"200";NA;NA;"68200";"800";NA;"251100"
"1995-05-02";"209200";NA;"1400";"12200";"37600";"400";NA;"800";"5800";"200";"1000";"151900"
"1995-05-16";"944000";"50600";"1600";"151400";"626800";"1200";NA;NA;"174800";"200";"2200";"206200"
"1995-05-29";"138600";"1600";"2200";"37400";"103000";"2800";NA;"2200";"17100";NA;"700";"97600"
"1995-06-13";"23800";"27000";"1200";"32600";"18600";"2000";NA;NA;"319300";NA;"400";"448600"
"1995-06-27";"1597000";"1002000";"3600";"5000";"39200";"2200";NA;NA;"20800";NA;"2600";"466700"
"1995-07-11";"1130000";"1645000";"400";"80400";"22800";"2400";NA;NA;"4500";"100";"1300";"65700"
"1995-07-24";"323400";"143400";"400";"1600";"5000";"1000";NA;NA;"8800";"200";"500";"58100"
"1995-08-07";NA;NA;"1800";NA;"2600";"6600";NA;NA;"2200";NA;"500";"154600"
"1995-08-21";"23800";"24800";"1600";"16200";"171000";"12000";NA;"4200";"8100";"200";"3400";"256000"
"1995-09-05";"1200";"600";"200";"600";"8600";"800";NA;NA;"1000";"400";NA;"78600"
"1995-09-19";"3400";"3200";NA;"6800";"10200";"1700";NA;"200";"1700";NA;"200";"327000"
"1995-10-05";"552800";"399800";"400";"24400";"31600";"2800";NA;"5000";"2500";"200";"8300";"193900"
"1995-10-16";"18200";"211800";"800";"2200";"8600";"5000";NA;"8800";"4500";NA;"2600";"271700"
"1995-10-30";"74800";"115000";"2600";"1726000";"1800";"1200";NA;"286600";"38600";"200";"900";"156400"
"1995-11-14";"4600";"11800";NA;"1200";"6400";"200";NA;"45600";"5700";"600";"200";"39200"
"1995-11-28";NA;NA;"400";NA;"9400";NA;NA;NA;"3100";NA;"200";"106900"
"1995-12-14";NA;"800";NA;NA;"5600";NA;"800";"200";"3300";"600";NA;"63600"
"1996-01-09";NA;NA;NA;NA;NA;"400";NA;"400";NA;"400";NA;"3600"
"1996-01-25";NA;NA;NA;NA;"1200";NA;NA;"1600";"600";"200";NA;"14800"
"1996-02-06";"2600";"18800";"200";NA;"600";"400";NA;"3200";"9900";NA;NA;"171400"
"1996-03-06";"5600";"3200";NA;NA;"3800";"200";NA;"800";"3400";"600";"200";"50800"
"1996-03-18";"8400";"4000";"400";NA;"4000";NA;"2600";NA;"4200";NA;NA;"34800"
"1996-03-26";"91400";"10600";"400";"800";"4800";"200";"12200";"25400";"7500";"200";NA;"209800"
"1996-04-10";"5200";NA;NA;NA;"3400";NA;"3400";NA;"300";NA;"200";"17000"
"1996-04-22";"158000";"1000";"400";"4000";"6000";NA;"13800";NA;"12700";"100";"600";"364600"
"1996-05-06";"2000";NA;"200";"600";"24400";"400";"27200";"200";"109400";"200";"1800";"49800"
"1996-05-20";"20600";NA;"200";NA;"28400";"1000";"5200";NA;"13400";"200";"200";"65600"
"1996-05-29";"800";"4000";NA;"2600";"1000";NA;"181600";NA;NA;"2000";NA;"16800"
"1996-06-12";"1200";"477000";NA;"400";"3400";"5400";"8200";"1600";"2800";"400";"400";"8900"
"1996-06-26";NA;NA;NA;NA;"29200";NA;"1600";NA;"1900";"200";NA;"8400"
"1996-07-08";"287000";"43600";"400";"28200";"2000";"1400";"230000";"1000";"8000";NA;"1200";"159200"
"1996-07-22";"5000";NA;"800";"3200";"8200";"3600";"800";NA;"55200";NA;"6400";"95100"
"1996-08-05";"4800";"8400";NA;"122800";"49600";NA;NA;"800";"3400";"200";"600";"30900"
"1996-08-20";"5600";"145000";"400";"45600";"6200";"800";"19200";"3400";"1500";"200";"400";"18100"
"1996-09-02";"3600";"3600";NA;"1426000";"3000";"400";"6200";NA;"2200";"400";"600";"26400"
"1996-09-16";"116800";"435000";"200";"1602400";"3600";"3600";"600";"95400";"4000";NA;"4000";"83600"
"1996-09-30";"516000";NA;NA;NA;"27200";NA;"5000";"363400";"80200";NA;"200";"2351800"
"1996-10-16";"3200";"14800";NA;"1000";"5400";NA;"3400";NA;"600";"800";NA;"31000"
"1996-10-28";"700";"1400";NA;NA;"5700";"100";"900";NA;"2300";NA;"100";"59900"
"1996-11-14";NA;NA;NA;"1200";"69400";NA;"500";"2100";"800";"500";NA;"17000"
"1996-11-25";NA;NA;NA;NA;"8400";"200";NA;"100";"400";"100";"100";"41200"
"1996-12-10";"400";NA;NA;"400";"1800";"100";"5400";"800";NA;NA;NA;"20600"
"1996-12-18";NA;"300";NA;NA;"200";NA;"19800";"8600";NA;NA;NA;"33800"
"1997-01-02";NA;NA;NA;"300";"1500";NA;"29400";"900";NA;"1000";NA;"17200"
"1997-01-13";NA;"400";"100";NA;"2100";NA;"900";"500";"100";"100";NA;"4000"
"1997-01-27";NA;"6200";NA;NA;"1400";NA;"1500";"1400";NA;NA;NA;"10300"
"1997-02-10";"8300";"363000";NA;NA;"3300";NA;"800";"1200";"700";"500";"100";"193300"
"1997-02-24";"2000";"6400";NA;NA;"6300";"6400";"800";"2800";"800";"100";"100";"373600"
