"Date";"SALI";"TEMP";"TURB";"OXYGENE";"SVSOUMOY";"SVSOURIS";"TOXPSP";"USPSP";"SVSOURI1";"SVSOURI2";"SVSOURI3";"CHLOROA";"PHEO";"ASP";"TURB-FNU";"AO+DTXs";"AZAs";"PTXs";"SVSOUMED";"YTXs";"SPXs"
"1989-08-23";"36.1";"25.1";"1.5";"5.18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-08-29";"36.2";"19.9";"1";"6.44";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-09-05";"36.3";"20.6";"1";"4.41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-09-12";"36.9";"24.7";"2.5";"5.25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-09-19";"36.4";"24.7";"0.95";"5.25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-09-27";"36.8";"24.8";"1.2";"4.55";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-10-04";"35.9";"20.4";"4.2";"4.9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-10-18";"36.3";"19.2";"1.5";"4.83";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-10-24";"36";"18.7";"1.2";"5.18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-11-07";"36";"14";"1.5";"6.02";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-11-21";"34.8";"16.1";"0.7";"5.04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1989-12-11";"34.7";"13.1";"1";"5.95";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-01-09";"35.2";"13.2";"0.6";"5.18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-01-23";"35.7";"11.9";"0.65";"6.09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-01-29";"36.2";"13.5";"0.67";"5.32";"1440";"1440";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-02-02";"36.4";"12.7";"0.75";"5.32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-02-05";NA;NA;NA;NA;"1440";"994.333333333333";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-02-12";"36";"13";"2.5";"5.11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-02-15";NA;NA;NA;NA;"1440";"1440";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-02-19";"36.3";"13.1";"0.95";"0.66";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1990-02-26";"35.4";"14.2";"1.7";"5.46";"1440";"1440";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
