"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2013-10-08";NA;NA;20170;NA;NA;NA;NA;NA;4385;NA;NA;NA;92960;NA;NA;NA;NA;877;NA;NA;NA;NA;NA;11700;1754;NA;NA;NA;NA;NA;NA;8770;NA;NA;NA;NA;100;NA;NA;877;NA;55250;NA;NA;100;NA;NA;877;877;877;NA;NA;NA;NA;2631;877;NA;36825
"2013-11-18";NA;NA;NA;NA;200;NA;NA;NA;5600;NA;NA;877;57000;NA;877;NA;NA;877;NA;NA;NA;NA;NA;877;2731;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;3508;2631;NA;600;NA;1754;NA;NA;100;NA;NA;100;100;NA;NA;NA;800;NA;1754;25426;400;51084
"2013-12-17";NA;NA;3508;NA;NA;NA;NA;2631;106111;NA;NA;100;25430;NA;400;NA;NA;8770;NA;100;NA;NA;NA;4385;5262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1754;15400;NA;NA;NA;35950;NA;NA;NA;100;NA;NA;200;13420;877;NA;5262;NA;18410;2077;300;56106
"2014-01-21";NA;NA;NA;NA;NA;NA;NA;NA;1000;NA;NA;100;64890;NA;2631;NA;NA;100;NA;1754;NA;NA;NA;NA;977;NA;NA;NA;3508;NA;3508;NA;NA;NA;NA;NA;877;8770;NA;NA;NA;3508;NA;NA;NA;NA;NA;200;3508;3231;300;NA;45600;NA;8770;46471;1754;9093
"2014-02-17";NA;NA;NA;NA;NA;NA;NA;NA;12570;NA;NA;NA;38580;NA;877;NA;100;400;NA;NA;NA;NA;NA;NA;6139;NA;NA;NA;1754;NA;3400;NA;NA;NA;NA;NA;2631;6139;NA;NA;NA;35080;NA;NA;100;NA;NA;400;200;3508;100;100;71030;NA;NA;29739;200;12278
"2014-03-17";NA;NA;NA;NA;NA;NA;NA;NA;4400;NA;NA;500;95980;NA;877;NA;NA;1200;NA;2631;NA;NA;NA;NA;7016;NA;NA;NA;4385;NA;20170;NA;NA;NA;NA;NA;1754;19350;NA;3508;NA;1600;NA;NA;200;NA;NA;100;877;1754;6139;877;95980;NA;NA;272796;NA;54563
"2014-03-31";NA;NA;110500;NA;NA;NA;NA;NA;45598;NA;NA;400;26310;17540;NA;NA;877;25430;NA;NA;NA;NA;NA;7993;5262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;3508;4385;NA;NA;NA;8300;NA;NA;877;NA;NA;200;NA;76280;6239;NA;8770;NA;NA;232630;NA;2859082
"2014-04-16";NA;NA;37711;NA;NA;NA;NA;NA;49112;NA;NA;NA;877;88577;NA;NA;NA;1754;NA;NA;NA;NA;NA;7016;877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;877;1388507;87700;NA;NA;NA;NA;NA;877;11190321
"2014-04-28";NA;NA;1200;NA;NA;NA;NA;NA;14030;NA;NA;100;14030;18410;NA;NA;NA;NA;NA;NA;NA;NA;NA;5208;10524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3508;3508;NA;NA;300;NA;14030;NA;NA;100;NA;NA;NA;100;1025000;34200;NA;NA;NA;NA;NA;100;6789654
"2014-05-14";NA;NA;8770;NA;NA;NA;NA;NA;NA;NA;NA;NA;238200;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;13170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2731;1754;NA;NA;NA;9647;NA;NA;NA;NA;NA;NA;9647;48230;NA;1754;16660;NA;NA;39460;NA;1895839
"2014-05-26";NA;NA;81560;NA;NA;NA;NA;NA;600;NA;NA;NA;49110;3508;NA;NA;NA;NA;NA;100;NA;NA;NA;25430;16655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3508;877;NA;NA;NA;7016;NA;NA;200;NA;NA;NA;100;1120000;3508;NA;NA;NA;NA;2000;NA;2124401
"2014-06-11";NA;100;NA;NA;NA;NA;NA;NA;17540;NA;NA;NA;289600;NA;4385;NA;1754;NA;NA;NA;NA;NA;NA;145816;45596;NA;NA;NA;NA;NA;NA;95980;NA;NA;NA;NA;977;NA;NA;NA;NA;1600;NA;NA;100;NA;NA;1754;11400;21925;61380;100;NA;NA;7016;NA;300;4385
"2014-06-25";NA;NA;8770;NA;NA;NA;NA;NA;749000;NA;NA;NA;31572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2677;1854;NA;NA;NA;1754;NA;NA;22802;NA;NA;NA;NA;100;1754;NA;NA;NA;NA;NA;NA;877;100;NA;3508;1754;35080;877;200;NA;NA;NA;NA;877;977
"2014-07-16";NA;NA;24550;NA;NA;NA;NA;NA;426970;NA;NA;NA;119900;NA;877;NA;NA;NA;NA;NA;NA;NA;NA;877;8770;NA;NA;NA;1754;NA;NA;8770;100;NA;NA;NA;4008;877;NA;NA;NA;13150;NA;NA;2631;200;NA;2631;1754;19292;35950;877;NA;NA;400;NA;200;6339
"2014-08-25";NA;NA;NA;NA;NA;NA;NA;15780;64064;NA;NA;1754;61390;20170;3508;NA;877;400;NA;NA;NA;NA;NA;21917;13154;NA;NA;NA;1754;NA;7016;15150;NA;NA;NA;NA;6239;NA;NA;NA;NA;9647;NA;NA;1700;NA;NA;17537;1754;9239;1477;400;NA;NA;3508;3508;300;17540
"2014-09-19";NA;NA;NA;NA;NA;NA;NA;10520;161820;NA;NA;NA;233100;NA;1000;2631;NA;300;400;877;NA;NA;NA;207080;19290;NA;NA;NA;NA;NA;5262;270200;NA;NA;NA;NA;400;17540;NA;NA;NA;NA;NA;NA;200;NA;NA;18412;2631;NA;136200;877;NA;NA;20170;12270;NA;24554
"2014-11-25";NA;NA;NA;3508;NA;NA;NA;1754;48217;NA;NA;200;39460;NA;1754;NA;NA;1754;400;1754;NA;NA;NA;7039;2731;NA;NA;NA;NA;NA;1754;1400;NA;NA;NA;NA;1754;9647;NA;400;NA;20170;NA;NA;3508;NA;NA;NA;877;5262;2631;NA;2631;NA;10520;7216;877;40437
