"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1996-10-10";NA;NA;1520400;NA;1250;NA;NA;NA;NA;NA;NA;1250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;13000;11250;NA;1250;NA;10000;NA;NA;15000;NA;NA;NA;NA;300;NA;NA;100;NA;NA;NA;NA;NA;NA;41250
"1996-12-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;1250;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;33750;100;1350;1250;NA;1300;NA;NA;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;NA;NA;2500
"1997-01-15";NA;NA;NA;NA;NA;NA;NA;NA;1250;NA;NA;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;600;NA;27500;NA;17200;10000;NA;2700
"1997-01-23";NA;NA;700;NA;NA;NA;NA;NA;10650;NA;NA;2500;NA;NA;1250;NA;NA;1250;NA;NA;NA;NA;NA;8950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;2500;1250;NA;300;NA;32500;NA;NA;NA;NA;NA;NA;NA;NA;800;NA;2500;NA;46250;48750;NA;544050
"1997-02-27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;7500;NA;NA;5000;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;11250;NA;6350
"1997-03-07";NA;NA;8100;NA;NA;NA;NA;NA;4950;NA;NA;100;NA;NA;NA;NA;NA;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;700;NA;NA;400;NA;NA;NA;NA;NA;1250;NA;1500;NA;8750;66250;NA;3100
"1997-03-21";NA;NA;NA;NA;NA;NA;NA;NA;5500;NA;NA;2500;NA;NA;NA;NA;NA;6250;NA;NA;NA;NA;NA;1250;NA;NA;NA;NA;NA;NA;6250;NA;NA;NA;NA;NA;1250;3750;NA;7500;NA;23750;1300;NA;NA;NA;NA;NA;NA;NA;8750;NA;NA;NA;137500;103750;NA;21650
"1997-04-07";NA;NA;492500;NA;NA;NA;NA;1000;8750;NA;NA;2500;NA;NA;NA;NA;NA;23750;7500;NA;NA;NA;NA;112500;300;NA;NA;NA;NA;NA;48750;NA;NA;NA;NA;2500;8750;13750;NA;15000;NA;26250;17500;NA;2500;NA;NA;400;100;500;10000;500;NA;NA;66250;10000;NA;379300
"1997-04-24";NA;NA;841250;NA;NA;NA;NA;2400;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;1100;NA;NA;NA;NA;63000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7500;2500;466250;NA;2500;NA;5000;600;NA;300;NA;NA;NA;NA;NA;7500;NA;NA;NA;2500;NA;NA;62310100
"1997-05-12";NA;NA;131250;NA;NA;NA;NA;5000;NA;NA;NA;1250;NA;NA;NA;NA;NA;200;NA;1250;NA;NA;NA;36250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;8750;NA;22500;NA;16250;NA;NA;5000;NA;NA;NA;NA;2532500;7500;NA;NA;NA;27500;12500;NA;28138450
"1997-05-22";NA;NA;297500;NA;NA;NA;NA;1250;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;2500;NA;NA;NA;63750;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7500;NA;3750;NA;2300;1500;NA;500;NA;NA;NA;NA;417500;12500;200;NA;NA;25000;200;NA;10100
"1997-06-05";NA;NA;1882500;NA;NA;NA;NA;17500;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;300;800;NA;NA;NA;NA;NA;NA;6100;NA;NA;NA;NA;1250;13750;NA;5000;NA;6250;NA;NA;NA;NA;NA;NA;300;NA;100;400;NA;NA;NA;NA;NA;3850
"1997-06-24";NA;NA;677500;NA;NA;NA;NA;3750;310000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;86250;NA;NA;NA;NA;5000;1250;NA;11250;NA;2900;NA;NA;100;NA;NA;NA;NA;10950;500;NA;NA;NA;NA;5000;NA;300
"1997-07-08";NA;NA;725000;NA;NA;NA;NA;NA;21000;NA;NA;100;NA;NA;NA;NA;100;NA;400;100;NA;NA;NA;176250;1300;NA;NA;NA;NA;NA;10000;30000;NA;NA;2300;100;1250;5000;NA;200;NA;7500;NA;NA;NA;NA;NA;1400;100;7550;7500;300;NA;NA;NA;NA;NA;2350
