"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.RHISKE";-0.123751736122353;1.46236066878088e-18;-1.33045384677383e-18;-1.80586109279577e-19;1.50648580056431e-18;-0.188109032199254;1.06266309182474e-18;-1.12063162667987e-18;-8.85016653019169e-19;8.59417837793688e-19;-0.167057338403121;3.51438457691777e-19;-9.63886629473073e-19;-3.199979719403e-18;-6.23345604431043e-19;-0.283663278181544;1.0240956375214e-18;-1.94536175829545e-18;-5.09370456180622e-18;-4.9562422796214e-19;1;-4.40549736675362e-18;7.54056353812266e-18;1.78544177898927e-17;8.65346406653409e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHICHA";-5.5775454067266e-19;-0.123751736122353;2.48930974176123e-19;2.29043929574536e-20;1.81476356378651e-18;-1.40298706707256e-19;-0.188109032199254;-3.55481344665907e-19;1.1224988054457e-19;1.45382090724814e-18;9.7571302507755e-19;-0.16705733840312;-2.18630444302081e-18;4.05865064824098e-19;1.0017711383014e-18;1.35572732976738e-18;-0.283663278181545;-3.36021156498332e-18;6.46053073285723e-19;2.16098702390605e-18;-4.40549736675362e-18;1;1.15676233397016e-17;-2.26454073747794e-18;-8.56907160884248e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHIGUI";-2.17893460717964e-19;-2.62417764659729e-18;-0.123751736122354;4.37453146110924e-20;7.91195088673485e-21;-4.58111174023479e-19;-2.0663936221683e-18;-0.188109032199254;2.14387098082062e-19;2.36234730585125e-19;-1.30770026467829e-18;-1.29843001244769e-18;-0.167057338403121;7.75165488269526e-19;9.67085971883892e-19;-2.12800494707346e-18;-2.88854842940832e-18;-0.283663278181544;1.23390281501218e-18;1.5243686396264e-18;7.54056353812266e-18;1.15676233397016e-17;1;-4.32506756213204e-18;-5.31681472090807e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHILEP";-3.48556424832308e-18;4.42086789180691e-19;8.44345698837817e-19;-0.123751736122354;-5.83278976901739e-21;-2.85310363521074e-18;3.61869509620113e-19;6.911379653632e-19;-0.188109032199254;-4.77442173140541e-21;-2.17864500130593e-18;2.76325468352873e-19;5.27756599819437e-19;-0.167057338403121;-3.64577364484155e-21;-4.55114367817054e-18;5.77238103343071e-19;1.10247245946047e-18;-0.283663278181545;-7.61594461962159e-21;1.78544177898927e-17;-2.26454073747794e-18;-4.32506756213204e-18;1;2.98778212069255e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHIRHI";-1.68417235834154e-18;-5.52267750336046e-20;1.08382021421353e-18;-3.02195207315267e-22;-0.123751736122353;-1.04059254744393e-18;3.40257220039905e-19;8.76929149126313e-19;-1.4809986881245e-21;-0.188109032199254;3.62660902774879e-19;1.5796527384792e-18;6.34598912486521e-19;-5.35488880383622e-21;-0.167057338403121;2.81693456245004e-20;2.46797350549109e-18;1.34774243712134e-18;-8.52387324915747e-21;-0.283663278181544;8.65346406653409e-19;-8.56907160884248e-18;-5.31681472090807e-18;2.98778212069255e-20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.ASTAST";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.98381027073984e-17;1.37638435781235e-18;-0.0744180700372271;-9.41811557043682e-19;-3.72777349941179e-19;-0.161622736919102;-5.46266858848896e-18;-1.76610545428185e-19;0;0;0;0;0;0;0;0
"B.ASTNIT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.98381027073984e-17;1;1.28569777654036e-17;-6.9538147485826e-18;-0.0744180700372272;-3.48215966887153e-18;-5.24847973036242e-18;-0.161622736919102;-1.64974110815603e-18;0;0;0;0;0;0;0;0
"B.ASTPSE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.37638435781235e-18;1.28569777654035e-17;1;9.99878393057367e-20;9.33998864102077e-19;-0.0744180700372272;-1.93453689521869e-19;-1.80707501556557e-18;-0.161622736919102;0;0;0;0;0;0;0;0
"B.NITAST";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0744180700372272;-6.9538147485826e-18;9.99878393057367e-20;1;3.78413248824869e-17;1.30739679120004e-18;-0.0624690876218416;-3.4356667556254e-18;-5.94053456113106e-21;0;0;0;0;0;0;0;0
"B.NITNIT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9.41811557043682e-19;-0.0744180700372272;9.33998864102077e-19;3.78413248824869e-17;1;1.221255631075e-17;-1.44320267242818e-18;-0.0624690876218417;-5.54912734466651e-20;0;0;0;0;0;0;0;0
