"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.RHISKE";-0.0878230332881919;1.36841975786584e-20;-1.44974957286852e-20;-3.76883592293347e-20;1.41314609982245e-20;-0.217780590617303;9.18801712747166e-19;-1.35837439963325e-19;-3.53129280390221e-19;1.32407797930383e-19;-0.256491876347579;1.2265400226064e-18;-1.90693322649431e-19;-4.95735165655326e-19;1.8587867188057e-19;-0.202637565812548;6.45081969574042e-19;-1.11586836320201e-19;-2.90086291536512e-19;1.08769476803782e-19;1;-4.36117384444024e-18;6.84463906219173e-19;1.77936397153478e-18;-6.67182469058447e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHICHA";5.74283604365198e-19;-0.0878230332881917;-1.03466280535954e-19;3.74058283270467e-20;1.71063669955221e-19;3.72326132832051e-19;-0.217780590617302;-3.77859922393455e-19;1.36606470393122e-19;6.24726284919065e-19;9.39919046725742e-19;-0.256491876347579;-6.34020265976652e-19;2.29215287358769e-19;1.04824328237318e-18;1.50103051413258e-18;-0.202637565812548;-5.39842569004362e-19;1.95167530476679e-19;8.92536685126618e-19;-4.36117384444024e-18;1;2.43409870025069e-18;-8.79991796757668e-19;-4.02436286045315e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHIGUI";-7.92758762277052e-20;-2.5458672157155e-19;-0.0878230332881917;7.15292842193432e-38;5.95263887255855e-37;-6.69390047973271e-20;-3.45566553904493e-19;-0.217780590617303;5.89209078977984e-38;8.60351929685022e-37;-1.5298773088017e-19;-6.48457721556841e-19;-0.256491876347579;2.70953545726023e-37;2.7226623267498e-36;-2.20679868379929e-19;-5.66889852074267e-19;-0.202637565812548;1.9777719524592e-37;2.55643176175934e-36;6.84463906219173e-19;2.43409870025069e-18;1;-9.10817628576274e-37;-1.03236170565832e-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHILEP";-2.06089227919434e-19;9.20399105111548e-20;7.15292842193442e-38;-0.0878230332881918;-1.55034450190878e-37;-1.74017727369566e-19;1.24931553777359e-19;5.89209078977925e-38;-0.217780590617301;-1.78449626453978e-37;-3.97713968467264e-19;2.34434813779497e-19;2.70953545726022e-37;-0.256491876347578;-6.51424483555768e-37;-5.73689574381364e-19;2.04945846871019e-19;1.97777195245926e-37;-0.202637565812549;-5.53536469159751e-37;1.77936397153478e-18;-8.79991796757668e-19;-9.10817628576273e-37;1;2.35041219320803e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.RHIRHI";7.72743081962247e-20;4.20915284557504e-19;5.95263887255857e-37;-1.55034450190878e-37;-0.0878230332881919;6.52489197621697e-20;5.71334763542981e-19;8.60351929684997e-37;-1.78449626453972e-37;-0.217780590617302;1.49125075985522e-19;1.07211312792643e-18;2.72266232674981e-36;-6.51424483555772e-37;-0.25649187634758;2.15108113253919e-19;9.37254708044706e-19;2.55643176175935e-36;-5.5353646915975e-37;-0.202637565812548;-6.67182469058447e-19;-4.02436286045314e-18;-1.03236170565832e-35;2.35041219320803e-36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.ASTAST";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8.05489918568065e-35;7.4737548044385e-18;0.00227032495352176;-7.36721292488723e-36;6.33243953648653e-19;-0.13457344657031;-1.17712227312678e-35;-1.55919595831115e-18;0;0;0;0;0;0;0;0
"B.ASTNIT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.05489918568065e-35;1;1.06488580966047e-17;-7.36721292488722e-36;0.00227032495352178;9.02267358160147e-19;-1.17712227312678e-35;-0.134573446570309;-2.22159502677214e-18;0;0;0;0;0;0;0;0
"B.ASTPSE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.4737548044385e-18;1.06488580966047e-17;1;-1.20363719702619e-18;-1.71498290301348e-18;0.00227032495352177;-6.25017217383387e-19;-8.90545626663817e-19;-0.13457344657031;0;0;0;0;0;0;0;0
"B.NITAST";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00227032495352176;-7.36721292488721e-36;-1.20363719702619e-18;1;5.60783896308051e-35;6.15402724026967e-18;-0.0246969492617611;-7.49824159459372e-37;-4.43843191767124e-20;0;0;0;0;0;0;0;0
"B.NITNIT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.36721292488723e-36;0.00227032495352178;-1.71498290301348e-18;5.60783896308051e-35;1;8.76846572024982e-18;-7.49824159459369e-37;-0.0246969492617611;-6.32402760051109e-20;0;0;0;0;0;0;0;0
